text,label
章子怡的经纪人是谁,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
郭书瑶的职业是什么,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
斓曦有哪些昵称,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
刘惜君有哪些同学,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
葛兆恩有哪些昵称,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
徐若瑄有哪些昵称,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
姚贝娜是哪国人,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
焦恩俊是AB型血吗,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
张力尹是哪个国家的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
郭羡妮是什么时候出生的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
郭碧婷的公司是什么,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
陈慧琳的出生地是哪里,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
雷诺儿是哪国人,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
萨钢云是什么血型的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
赵又廷是做什么的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
毕书尽的代表作品有哪些,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
陈道明的妻子是谁,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
能给我介绍下霍思燕吗,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
陈骁的出生地是哪里,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
苏有朋的代表作品有哪些,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
端木新卉的老家是哪的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
卓依婷是哪个民族的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
郭静是做什么的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
于湉的好朋友有哪些,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
金智娟的英文名是什么,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
陆虎的粉丝一般怎么叫他,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
张筱婕的粉丝一般怎么叫他,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
邱淑贞有多高啊,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
陈晓的出生地是哪里,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
何鸿超的民族是什么,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
陈芳语有多高啊,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
徐熙娣都和谁合作过,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
田震获过什么奖吗,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
周汤豪有哪些作品,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
乔任梁是谁啊,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
张恒远有哪些作品,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
蓝正龙是什么时候出生的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
孟庭苇的代表作品有哪些,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
姜潮有哪些作品,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
江映蓉有哪些好朋友,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
陈钰琪是汉族人吗,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
谁是伊能静的前夫,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
黄雅莉是哪年出生的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
元斌是哪国人,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
何炅的搭档都有谁,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
蒋勤勤的身高是多少,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
胡宇威是谁啊,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
张艾文是哪国人,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
能给我介绍下黄少谷吗,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
李丽珍是哪年生人,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
罗志祥得过哪些奖啊,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
阳蕾有哪些昵称,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
徐熙娣是谁啊,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
林妙可是哪个民族的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
蔡旻佑的血型是什么,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
肖战的身高是多少,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
武艺是什么血型的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
丁丁是汉族人吗,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
保剑锋的身高是多少,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
黄贯中的简介,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
能给我介绍下吴彦祖吗,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
阚清子是做什么行业的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
魏晨是谁啊,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
金世佳都和谁合作过,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
能给我介绍下张天爱吗,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
张真源有哪些昵称,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
巫迪文和谁合作过,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
高露的好朋友有哪些,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
胡歌是什么时候出生的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
高瀚宇的英文名是什么,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
李小冉有哪些前男友,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
孟子坤是哪里出生的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
洪辰是哪里出生的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
田雨橙有哪些昵称,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
姚贝娜都和谁合作过,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
张卫健得过哪些奖啊,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
丁丁现在属于哪家公司,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
李薇薇是谁啊,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
品冠的老师是谁,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
崔智友的职业是什么,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
杨漫的出生地是哪里,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
王心凌的代表作品有哪些,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
林志炫是哪年生人,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
陈小纭是哪年生人,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
王俊凯获过什么奖吗,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
吴青峰是汉族人吗,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
陈都灵有多高啊,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
张栋梁的职业是什么,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
张丹峰的代表作品有哪些,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
李曼的出生地是哪里,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
张晓晨的出生日期是什么时候,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
王宥胜的简介,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
葛兆恩的英文名是什么,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
戴佩妮是什么星座的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
李昊瀚是哪年出生的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
林墨的代表作品有哪些,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
汤唯是AB型血吗,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
郑元畅有多高啊,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
蓝正龙有多高啊,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
樊桐舟的国籍是哪,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
张若昀的昵称是什么,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
品冠的儿子是谁,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
蔡颐榛是哪里出生的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
王思思的民族是什么,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
陈慧琳是哪个公司的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
邱泽的昵称是什么,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
佟大为和谁是同学,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
林正英的粉丝一般怎么叫他,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
张倬闻的身高是多少,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
徐璐是什么血型的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
蒋梦婕现在属于哪家公司,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
田雨橙的职业是什么,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
周宜霈获过什么奖吗,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
马伊琍是哪个国家的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
蔡国庆的好朋友有哪些,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
徐若瑄的国籍是哪,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
陈好是哪里出生的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
王一博的简介,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
张伦硕是做什么的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
陈键锋是哪年出生的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
陈燃的民族是什么,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
钟镇涛是汉族人吗,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
陈慧琳的代表作品有哪些,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
孟子义的老家是哪的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
路晨是什么时候出生的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
菅纫姿是什么时候出生的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
能给我介绍下王心凌吗,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
叶世荣的老婆是谁,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
胡歌是谁啊,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
鞠婧祎是哪国人,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
邱翊橙还有什么名字吗,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
傅颖是哪个国家的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
秦岚有哪些作品,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
蓝正龙的职业是什么,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
郭晓东的同学都有谁,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
和汪东城同在一个队的都有谁,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
李宗翰是哪个国家的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
华晨宇是做什么的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
李泽维是哪里出生的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
萧亚轩的国籍是哪,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
能给我介绍下赵本山吗,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
柯家豪还有什么名字吗,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
刘涛有哪些好朋友,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
能给我介绍下蒋依依吗,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
郭羡妮有哪些作品,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
赵鸿飞的民族是什么,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
杨茜尧获过什么奖吗,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
郭珍霓的简介,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
李玉刚是哪年生人,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
郭采洁有几个前男友,SELECT Count(Object) FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
关晓彤的好朋友有哪些,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
金瀚得过哪些奖啊,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
林峰获过什么奖吗,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
任贤齐的出生日期是什么时候,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
窦唯的简介,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
王思思的国籍是哪,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
马德钟有哪些作品,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
黄晓明的前任是谁,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
梅艳芳的粉丝一般怎么叫他,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
张雪迎是做什么的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
张玮是哪个民族的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
娄艺潇的搭档都有谁,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
张力尹是哪年出生的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
陈欣是谁啊,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
张亚飞是谁啊,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
陈乔恩是哪年生人,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
辰亦儒是哪个国家的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
潘时七是做什么行业的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
段黄巍是做什么的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
李荣浩是哪国人,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
刘一麟是什么时候出生的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
光良都和谁合作过,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
赵谨俨的老师是谁,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
陈慧琳有哪些昵称,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
许明杰的英文名是什么,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
魏晨是哪个民族的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
王栎鑫的民族是什么,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
辰亦儒有哪些好朋友,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
陈道明是什么血型的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
陈骁有哪些好朋友,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
肖战是哪里出生的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
陈意涵是哪年生人,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
曹骏得过哪些奖啊,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
林俊杰的师父是谁,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
田震是哪年出生的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
梁君诺是AB型血吗,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
胡歌原来都和谁谈过恋爱,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
林峰的搭档都有谁,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
蒙嘉慧的出生地是哪里,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
胡冰卿有哪些好朋友,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
王祖蓝是哪年生人,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
俞灏明还有什么名字吗,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
王嘉尔的英文名是什么,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
张云龙是哪国人,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
郭富城和谁是同学,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
张碧晨有哪些作品,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
高圆圆是什么时候出生的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
萨钢云是哪年出生的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
黄忆慈的妈妈是谁,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
范世錡有哪些作品,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
李茂的民族是什么,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
任家萱是谁啊,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
能给我介绍下陈嘉桦吗,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
谁是唐禹哲的女朋友,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
韩红是AB型血吗,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
杨丞琳的前男友都有谁,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
梁朝伟的师父是谁,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
陆虎是汉族人吗,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
唐笑的出生日期是什么时候,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
徐良的血型是什么,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
关智斌是哪里出生的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
李小璐是哪年生人,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
邱心志的前妻是谁,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
陈晓东是哪个国家的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
白冰的简介,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
孙耀琦是做什么的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
能给我介绍下许慧欣吗,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
斓曦的昵称是什么,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
孙子涵是做什么行业的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
古力那扎尔·拜合提亚尔是什么时候出生的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
孙楠的前妻是谁,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
林嘉欣现在属于哪家公司,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
翁虹有多高啊,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
孙坚的出生日期是什么时候,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
黄渤是哪里出生的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
赵嘉敏是哪年生人,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
明凯是哪个国家的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
谢博安是谁啊,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
蒋梦婕是哪个民族的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
黄星羱是什么星座的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
杨思敏、小林麻美的出生地是哪里,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
高云翔的身高是多少,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
陈数是AB型血吗,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
黄征的简介,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
张栋梁的国籍是哪,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
任家萱的前夫是谁,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
窦骁的属相是什么,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
汪峰是做什么行业的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
杨颖的英文名是什么,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
甘婷婷的国籍是哪,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
梁咏琪是做什么的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
黄子华是做什么的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
彭于晏的职业是什么,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
朱丹的出生地是哪里,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
魏晨的粉丝一般怎么叫他,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
韩红的代表作品有哪些,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
黄家驹的前女友都有谁,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
王诗龄还有什么名字吗,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
李冰冰的同学都有谁,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
和叶世荣同在一个队的都有谁,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
